State,Year,Undergrad,Graduate,Professional,Total
Maryland,1993,47,39,1,87
Maryland,1994,57,37,1,95
Maryland,1995,73,36,1,110
Maryland,1996,77,46,5,128
Maryland,1997,76,44,4,124
Maryland,1998,77,3,44,124
Maryland,1999,66,1,41,108
Maryland,2000,69,5,46,120
Maryland,2001,79,7,53,139
Maryland,2002,81,6,54,141
Maryland,2003,100,8,60,168
Maryland,2004,89,9,30,128
Maryland,2005,85,7,36,128
Maryland,2006,80,5,40,125
Maryland,2007,76,4,41,121
Maryland,2008,74,3,43,120
Maryland,2009,62,2,41,105
Maryland,2010,62,2,41,105
Maryland,2011,67,4,47,118
Maryland,2012,67,6,41,114
Maryland,2013,74,5,45,124
Maryland,2014,78,7,43,128
Maryland,2015,73,5,45,123
Maryland,2016,66,7,46,119
Maryland,2017,62,5,69,136
Massachusetts,1975,12,46,4,62
Massachusetts,1976,12,39,4,55
Massachusetts,1977,13,30,0,43
Massachusetts,1978,16,47,2,65
Massachusetts,1979,12,44,2,58
Massachusetts,1980,10,46,1,57
Massachusetts,1981,16,41,0,57
Massachusetts,1982,12,39,0,51
Massachusetts,1983,8,36,1,45
Massachusetts,1984,10,28,3,41
Massachusetts,1985,10,40,0,50
Massachusetts,1986,12,37,1,50
Massachusetts,1987,18,30,0,48
Massachusetts,1988,18,27,1,46
Massachusetts,1989,30,23,1,54
Massachusetts,1990,26,24,1,51
Massachusetts,1991,38,26,0,64
Massachusetts,1992,43,26,0,69
Massachusetts,1993,46,26,0,72
Massachusetts,1994,36,25,0,61
Massachusetts,1995,44,32,0,76
Massachusetts,1996,41,42,7,90
Massachusetts,1997,40,41,7,88
Massachusetts,1998,48,6,47,101
Massachusetts,1999,45,4,56,105
Massachusetts,2000,48,5,48,101
Massachusetts,2001,48,8,60,116
Massachusetts,2002,43,10,65,118
Massachusetts,2003,51,10,69,130
Massachusetts,2004,53,9,25,87
Massachusetts,2005,56,3,20,79
Massachusetts,2006,51,5,15,71
Massachusetts,2007,59,3,22,84
Massachusetts,2008,65,3,20,88
Massachusetts,2009,80,3,35,118
Massachusetts,2010,80,3,35,118
Massachusetts,2011,92,5,38,135
Massachusetts,2012,94,8,42,144
Massachusetts,2013,100,7,34,141
Massachusetts,2014,102,10,36,148
Massachusetts,2015,106,9,33,148
Massachusetts,2016,105,10,45,160
Massachusetts,2017,98,14,72,184
Michigan,1975,15,58,6,79
Michigan,1976,21,73,4,98
Michigan,1977,28,64,2,94
Michigan,1978,20,55,5,80
Michigan,1979,27,63,9,99
Michigan,1980,30,69,11,110
Michigan,1981,25,75,6,106
Michigan,1982,24,60,7,91
Michigan,1983,28,55,9,92
Michigan,1984,26,72,11,109
Michigan,1985,31,67,6,104
Michigan,1986,35,70,9,114
Michigan,1987,40,71,5,116
Michigan,1988,32,72,4,108
Michigan,1989,37,74,1,112
Michigan,1990,38,100,6,144
Michigan,1991,44,81,9,134
Michigan,1992,42,85,14,141
Michigan,1993,56,74,13,143
Michigan,1994,57,76,10,143
Michigan,1995,58,95,10,163
Michigan,1996,61,111,19,191
Michigan,1997,55,110,18,183
Michigan,1998,62,12,102,176
Michigan,1999,54,14,99,167
Michigan,2000,56,15,98,169
Michigan,2001,67,18,106,191
Michigan,2002,68,21,119,208
Michigan,2003,71,27,134,232
Michigan,2004,68,20,54,142
Michigan,2005,68,14,65,147
Michigan,2006,79,17,67,163
Michigan,2007,63,17,55,135
Michigan,2008,60,17,75,152
Michigan,2009,50,38,84,172
Michigan,2010,50,38,84,172
Michigan,2011,65,40,82,187
Michigan,2012,63,36,89,188
Michigan,2013,83,29,105,217
Michigan,2014,85,34,114,233
Michigan,2015,76,39,110,225
Michigan,2016,81,46,101,228
Michigan,2017,86,41,131,258
Military,2000,1,0,0,1
Military,2001,0,0,0,0
Military,2002,1,0,1,2
Military,2003,1,0,2,3
Military,2004,6,0,0,6
Military,2005,2,0,0,2
Military,2006,1,0,0,1
Military,2007,3,0,0,3
Military,2008,6,0,0,6
Military,2009,7,0,0,7
Military,2010,7,0,0,7
Military,2011,11,0,0,11
Military,2012,7,0,0,7
Military,2013,4,0,1,5
Military,2014,6,0,1,7
Military,2015,7,0,3,10
Military,2016,8,0,1,9
Military,2017,6,1,3,10
Minnesota,1975,12,33,3,48
Minnesota,1976,6,38,2,46
Minnesota,1977,7,48,2,57
Minnesota,1978,9,36,0,45
Minnesota,1979,8,33,0,41
Minnesota,1980,9,45,1,55
Minnesota,1981,13,45,1,59
Minnesota,1982,9,44,1,54
Minnesota,1983,11,59,0,70
Minnesota,1984,11,58,0,69
Minnesota,1985,14,53,0,67
Minnesota,1986,15,36,1,52
Minnesota,1987,22,33,1,56
Minnesota,1988,23,29,0,52
Minnesota,1989,25,31,0,56
Minnesota,1990,23,3,1,27
Minnesota,1991,19,36,2,57
Minnesota,1992,19,43,1,63
Minnesota,1993,28,35,1,64
Minnesota,1994,30,39,1,70
Minnesota,1995,33,55,1,89
Minnesota,1996,4,54,0,58
Minnesota,1997,46,59,2,107
Minnesota,1998,56,2,67,125
Minnesota,1999,73,2,63,138
Minnesota,2000,69,0,64,133
Minnesota,2001,72,0,75,147
Minnesota,2002,64,0,77,141
Minnesota,2003,58,0,89,147
Minnesota,2004,60,2,25,87
Minnesota,2005,48,1,25,74
Minnesota,2006,44,2,38,84
Minnesota,2007,39,0,43,82
Minnesota,2008,37,3,43,83
Minnesota,2009,43,4,60,107
Minnesota,2010,43,4,60,107
Minnesota,2011,56,6,53,115
Minnesota,2012,58,6,48,112
Minnesota,2013,53,6,49,108
Minnesota,2014,69,5,50,124
Minnesota,2015,71,4,51,126
Minnesota,2016,80,9,52,141
Minnesota,2017,77,7,77,161
Mississippi,1975,0,16,0,16
Mississippi,1976,1,12,0,13
Mississippi,1977,2,12,0,14
Mississippi,1978,6,6,0,12
Mississippi,1979,3,2,0,5
Mississippi,1980,4,7,0,11
Mississippi,1981,5,6,0,11
Mississippi,1982,1,3,0,4
Mississippi,1983,1,5,0,6
Mississippi,1984,2,4,0,6
Mississippi,1985,2,5,1,8
Mississippi,1986,2,3,0,5
Mississippi,1987,2,4,0,6
Mississippi,1988,2,6,0,8
Mississippi,1989,0,6,0,6
Mississippi,1990,0,7,0,7
Mississippi,1991,2,9,0,11
Mississippi,1992,4,7,0,11
Mississippi,1993,5,10,0,15
Mississippi,1994,8,7,0,15
Mississippi,1995,7,6,0,13
Mississippi,1996,6,10,1,17
Mississippi,1997,7,11,1,19
Mississippi,1998,4,0,18,22
Mississippi,1999,2,0,13,15
Mississippi,2000,4,0,12,16
Mississippi,2001,2,0,12,14
Mississippi,2002,3,0,14,17
Mississippi,2003,1,0,13,14
Mississippi,2004,4,0,4,8
Mississippi,2005,5,1,5,11
Mississippi,2006,4,1,4,9
Mississippi,2007,6,0,3,9
Mississippi,2008,5,0,5,10
Mississippi,2009,2,1,8,11
Mississippi,2010,2,1,8,11
Mississippi,2011,4,1,7,12
Mississippi,2012,5,1,8,14
Mississippi,2013,6,0,10,16
Mississippi,2014,3,0,8,11
Mississippi,2015,4,0,6,10
Mississippi,2016,5,0,6,11
Mississippi,2017,6,0,10,16
Missouri,1975,56,73,2,131
Missouri,1976,54,61,3,118
Missouri,1977,63,59,2,124
Missouri,1978,66,67,4,137
Missouri,1979,78,63,0,141
Missouri,1980,86,76,4,166
Missouri,1981,96,61,7,164
Missouri,1982,112,9,5,126
Missouri,1983,128,62,4,194
Missouri,1984,137,53,3,193
Missouri,1985,169,61,0,230
Missouri,1986,165,64,10,239
Missouri,1987,174,71,5,250
Missouri,1988,167,56,7,230
Missouri,1989,159,62,6,227
Missouri,1990,177,60,6,243
Missouri,1991,181,69,5,255
Missouri,1992,169,88,2,259
Missouri,1993,191,80,5,276
Missouri,1994,227,69,8,304
Missouri,1995,232,76,8,316
Missouri,1996,276,81,13,370
Missouri,1997,280,96,15,391
Missouri,1998,288,14,107,409
Missouri,1999,284,9,106,399
Missouri,2000,284,5,103,392
Missouri,2001,298,3,113,414
Missouri,2002,286,6,109,401
Missouri,2003,289,4,123,416
Missouri,2004,244,5,41,290
Missouri,2005,227,6,45,278
Missouri,2006,202,8,66,276
Missouri,2007,174,9,67,250
Missouri,2008,167,8,72,247
Missouri,2009,133,12,82,227
Missouri,2010,133,12,82,227
Missouri,2011,133,11,78,222
Missouri,2012,140,12,92,244
Missouri,2013,138,9,84,231
Missouri,2014,141,10,73,224
Missouri,2015,138,9,67,214
Missouri,2016,134,6,75,215
Missouri,2017,122,10,127,259
Montana,1975,0,4,0,4
Montana,1976,0,2,0,2
Montana,1977,1,5,1,7
Montana,1978,0,4,0,4
Montana,1979,0,4,0,4
Montana,1980,0,4,0,4
Montana,1981,3,4,0,7
Montana,1982,1,4,0,5
Montana,1983,2,7,0,9
Montana,1984,1,8,0,9
Montana,1985,3,9,0,12
Montana,1986,4,5,0,9
Montana,1987,3,4,0,7
Montana,1988,1,2,0,3
Montana,1989,1,4,0,5
Montana,1990,2,1,0,3
Montana,1991,3,0,0,3
Montana,1992,2,3,0,5
Montana,1993,3,6,0,9
Montana,1994,4,3,0,7
Montana,1995,4,3,0,7
Montana,1996,2,5,0,7
Montana,1997,3,9,0,12
Montana,1998,2,1,3,6
Montana,1999,3,1,5,9
Montana,2000,2,1,7,10
Montana,2001,1,1,9,11
Montana,2002,4,1,8,13
Montana,2003,2,1,7,10
Montana,2004,3,0,5,8
Montana,2005,1,0,2,3
Montana,2006,0,0,2,2
Montana,2007,1,0,3,4
Montana,2008,1,0,3,4
Montana,2009,1,0,4,5
Montana,2010,1,0,4,5
Montana,2011,0,0,6,6
Montana,2012,0,0,6,6
Montana,2013,0,0,3,3
Montana,2014,0,0,3,3
Montana,2015,0,0,3,3
Montana,2016,0,0,4,4
Montana,2017,1,0,3,4
Nebraska,1975,11,20,0,31
Nebraska,1976,10,16,0,26
Nebraska,1977,11,15,0,26
Nebraska,1978,12,13,1,26
Nebraska,1979,6,14,1,21
Nebraska,1980,8,15,1,24
Nebraska,1981,7,10,0,17
Nebraska,1982,11,10,0,21
Nebraska,1983,11,15,0,26
Nebraska,1984,18,20,0,38
Nebraska,1985,17,18,1,36
Nebraska,1986,7,18,1,26
Nebraska,1987,16,10,0,26
Nebraska,1988,14,13,1,28
Nebraska,1989,16,8,1,25
Nebraska,1990,18,1,0,19
Nebraska,1991,14,14,0,28
Nebraska,1992,14,13,0,27
Nebraska,1993,10,13,0,23
Nebraska,1994,12,12,1,25
Nebraska,1995,21,19,1,41
Nebraska,1996,30,19,2,51
Nebraska,1997,35,19,1,55
Nebraska,1998,39,1,16,56
Nebraska,1999,42,0,14,56
Nebraska,2000,37,1,20,58
Nebraska,2001,29,1,28,58
Nebraska,2002,28,1,26,55
Nebraska,2003,21,0,26,47
Nebraska,2004,18,1,11,30
Nebraska,2005,18,1,14,33
Nebraska,2006,20,2,17,39
Nebraska,2007,15,2,18,35
Nebraska,2008,14,2,15,31
Nebraska,2009,8,2,22,32
Nebraska,2010,8,2,22,32
Nebraska,2011,12,2,14,28
Nebraska,2012,11,1,14,26
Nebraska,2013,10,0,16,26
Nebraska,2014,11,1,16,28
Nebraska,2015,5,2,19,26
Nebraska,2016,7,3,18,28
Nebraska,2017,7,1,28,36
Nevada,1975,1,0,0,1
Nevada,1976,1,2,0,3
Nevada,1977,1,4,0,5
Nevada,1978,0,2,0,2
Nevada,1979,0,1,0,1
Nevada,1980,0,2,0,2
Nevada,1981,0,2,0,2
Nevada,1982,1,2,0,3
Nevada,1983,0,1,0,1
Nevada,1984,2,1,0,3
Nevada,1985,2,2,1,5
Nevada,1986,1,1,0,2
Nevada,1987,2,3,0,5
Nevada,1988,2,5,0,7
Nevada,1989,2,2,0,4
Nevada,1990,2,3,0,5
Nevada,1991,2,4,0,6
Nevada,1992,7,0,1,8
Nevada,1993,6,1,0,7
Nevada,1994,6,3,0,9
Nevada,1995,7,4,0,11
Nevada,1996,6,7,0,13
Nevada,1997,10,6,0,16
Nevada,1998,10,0,3,13
Nevada,1999,10,0,8,18
Nevada,2000,12,0,8,20
Nevada,2001,10,1,4,15
Nevada,2002,11,2,3,16
Nevada,2003,11,2,4,17
Nevada,2004,6,1,1,8
Nevada,2005,7,0,1,8
Nevada,2006,10,0,2,12
Nevada,2007,11,0,4,15
Nevada,2008,11,0,3,14
Nevada,2009,8,0,6,14
Nevada,2010,8,0,6,14
Nevada,2011,9,0,5,14
Nevada,2012,9,1,6,16
Nevada,2013,8,1,4,13
Nevada,2014,9,1,5,15
Nevada,2015,8,2,6,16
Nevada,2016,8,3,5,16
Nevada,2017,11,3,7,21
New Hampshire,1975,2,9,0,11
New Hampshire,1976,2,11,0,13
New Hampshire,1977,2,11,0,13
New Hampshire,1978,1,12,0,13
New Hampshire,1979,3,13,0,16
New Hampshire,1980,0,8,0,8
New Hampshire,1981,1,7,0,8
New Hampshire,1982,1,1,0,2
New Hampshire,1983,0,1,0,1
New Hampshire,1984,1,8,1,10
New Hampshire,1985,2,5,1,8
New Hampshire,1986,5,6,0,11
New Hampshire,1987,4,4,0,8
New Hampshire,1988,4,2,0,6
New Hampshire,1989,5,4,0,9
New Hampshire,1990,9,6,0,15
New Hampshire,1991,9,4,0,13
New Hampshire,1992,9,5,0,14
New Hampshire,1993,7,8,0,15
New Hampshire,1994,6,7,0,13
New Hampshire,1995,7,10,0,17
New Hampshire,1996,7,10,0,17
New Hampshire,1997,8,8,0,16
New Hampshire,1998,4,0,10,14
New Hampshire,1999,5,0,11,16
New Hampshire,2000,5,2,12,19
New Hampshire,2001,5,2,11,18
New Hampshire,2002,7,2,12,21
New Hampshire,2003,8,3,12,23
New Hampshire,2004,7,2,2,11
New Hampshire,2005,12,2,3,17
New Hampshire,2006,15,2,4,21
New Hampshire,2007,12,1,3,16
New Hampshire,2008,9,1,5,15
New Hampshire,2009,9,0,8,17
New Hampshire,2010,9,0,8,17
New Hampshire,2011,7,1,11,19
New Hampshire,2012,8,1,13,22
New Hampshire,2013,10,2,15,27
New Hampshire,2014,11,1,12,24
New Hampshire,2015,13,1,11,25
New Hampshire,2016,17,1,7,25
New Hampshire,2017,16,1,10,27
New Jersey,1975,46,58,2,106
New Jersey,1976,36,47,5,88
New Jersey,1977,39,51,5,95
New Jersey,1978,36,43,3,82
New Jersey,1979,29,57,1,87
New Jersey,1980,32,46,4,82
New Jersey,1981,34,51,3,88
New Jersey,1982,35,49,4,88
New Jersey,1983,43,39,2,84
New Jersey,1984,49,43,3,95
New Jersey,1985,64,39,0,103
New Jersey,1986,57,30,1,88
New Jersey,1987,68,35,2,105
New Jersey,1988,65,30,5,100
New Jersey,1989,68,30,5,103
New Jersey,1990,76,37,2,115
New Jersey,1991,77,37,4,118
New Jersey,1992,82,36,4,122
New Jersey,1993,93,42,4,139
New Jersey,1994,107,47,2,156
New Jersey,1995,109,49,2,160
New Jersey,1996,123,53,9,185
New Jersey,1997,106,58,8,172
New Jersey,1998,117,6,57,180
New Jersey,1999,108,10,60,178
New Jersey,2000,110,7,74,191
New Jersey,2001,125,8,75,208
New Jersey,2002,125,8,71,204
New Jersey,2003,155,10,76,241
New Jersey,2004,158,12,28,198
New Jersey,2005,154,14,28,196
New Jersey,2006,138,15,32,185
New Jersey,2007,130,15,29,174
New Jersey,2008,157,12,31,200
New Jersey,2009,169,13,41,223
New Jersey,2010,169,13,41,223
New Jersey,2011,195,11,45,251
New Jersey,2012,207,8,49,264
New Jersey,2013,243,8,48,299
New Jersey,2014,280,14,44,338
New Jersey,2015,317,13,42,372
New Jersey,2016,312,17,49,378
New Jersey,2017,328,14,88,430
New Mexico,1975,1,14,0,15
New Mexico,1976,1,15,0,16
New Mexico,1977,2,17,0,19
New Mexico,1978,5,14,0,19
New Mexico,1979,3,10,0,13
New Mexico,1980,1,11,0,12
New Mexico,1981,2,11,0,13
New Mexico,1982,4,13,0,17
New Mexico,1983,5,16,1,22
New Mexico,1984,5,13,1,19
New Mexico,1985,5,17,0,22
New Mexico,1986,4,13,0,17
New Mexico,1987,6,11,0,17
New Mexico,1988,6,14,0,20
New Mexico,1989,5,10,0,15
New Mexico,1990,5,14,0,19
New Mexico,1991,6,12,0,18
New Mexico,1992,7,10,0,17
New Mexico,1993,6,13,0,19
New Mexico,1994,3,24,0,27
New Mexico,1995,4,21,0,25
New Mexico,1996,12,27,1,40
New Mexico,1997,12,27,1,40
New Mexico,1998,12,1,28,41
New Mexico,1999,14,1,29,44
New Mexico,2000,7,0,25,32
New Mexico,2001,7,0,23,30
New Mexico,2002,10,0,24,34
New Mexico,2003,10,0,24,34
New Mexico,2004,9,1,9,19
New Mexico,2005,7,2,9,18
New Mexico,2006,5,2,10,17
New Mexico,2007,6,1,13,20
New Mexico,2008,3,0,16,19
New Mexico,2009,4,0,14,18
New Mexico,2010,4,0,14,18
New Mexico,2011,7,0,13,20
New Mexico,2012,7,0,12,19
New Mexico,2013,3,1,11,15
New Mexico,2014,6,1,10,17
New Mexico,2015,7,1,11,19
New Mexico,2016,8,1,18,27
New Mexico,2017,8,0,24,32
New York,1975,55,218,4,277
New York,1976,52,187,6,245
New York,1977,53,149,6,208
New York,1978,41,164,6,211
New York,1979,39,137,8,184
New York,1980,28,124,9,161
New York,1981,3,128,5,136
New York,1982,29,119,5,153
New York,1983,27,126,3,156
New York,1984,34,115,2,151
New York,1985,46,105,2,153
New York,1986,52,84,4,140
New York,1987,59,82,3,144
New York,1988,69,86,7,162
New York,1989,69,89,6,164
New York,1990,88,96,3,187
New York,1991,89,91,5,185
New York,1992,96,114,11,221
New York,1993,108,96,14,218
New York,1994,107,83,12,202
New York,1995,124,107,12,243
New York,1996,127,131,12,270
New York,1997,124,137,13,274
New York,1998,120,17,143,280
New York,1999,119,21,131,271
New York,2000,115,23,136,274
New York,2001,119,16,135,270
New York,2002,122,20,153,295
New York,2003,121,15,153,289
New York,2004,102,10,56,168
New York,2005,100,12,56,168
New York,2006,84,18,81,183
New York,2007,72,15,75,162
New York,2008,76,16,73,165
New York,2009,90,23,79,192
New York,2010,90,23,79,192
New York,2011,98,23,92,213
New York,2012,125,22,101,248
New York,2013,137,16,106,259
New York,2014,166,16,99,281
New York,2015,182,12,98,292
New York,2016,176,19,98,293
New York,2017,176,19,154,349
North Carolina,1975,9,30,0,39
North Carolina,1976,4,33,0,37
North Carolina,1977,6,39,1,46
North Carolina,1978,3,29,0,32
North Carolina,1979,4,29,0,33
North Carolina,1980,3,30,0,33
North Carolina,1981,6,33,0,39
North Carolina,1982,5,27,0,32
North Carolina,1983,5,27,0,32
North Carolina,1984,6,22,0,28
North Carolina,1985,3,23,1,27
North Carolina,1986,1,20,0,21
North Carolina,1987,7,5,0,12
North Carolina,1988,7,19,0,26
North Carolina,1989,10,14,1,25
North Carolina,1990,8,23,1,32
North Carolina,1991,16,18,1,35
North Carolina,1992,14,17,0,31
North Carolina,1993,23,29,0,52
North Carolina,1994,30,31,0,61
North Carolina,1995,29,36,0,65
North Carolina,1996,22,39,2,63
North Carolina,1997,19,45,3,67
North Carolina,1998,19,3,43,65
North Carolina,1999,14,2,47,63
North Carolina,2000,16,3,46,65
North Carolina,2001,19,5,43,67
North Carolina,2002,22,7,43,72
North Carolina,2003,22,12,60,94
North Carolina,2004,25,1,33,59
North Carolina,2005,26,1,26,53
North Carolina,2006,20,4,24,48
North Carolina,2007,16,3,27,46
North Carolina,2008,25,4,36,65
North Carolina,2009,18,5,31,54
North Carolina,2010,18,5,31,54
North Carolina,2011,27,3,28,58
North Carolina,2012,25,1,32,58
North Carolina,2013,24,1,32,57
North Carolina,2014,26,1,36,63
North Carolina,2015,26,1,38,65
North Carolina,2016,28,1,44,73
North Carolina,2017,31,3,57,91
North Dakota,1975,3,3,0,6
North Dakota,1976,1,6,0,7
North Dakota,1977,1,6,0,7
North Dakota,1978,1,8,1,10
North Dakota,1979,1,7,1,9
North Dakota,1980,0,3,1,4
North Dakota,1981,1,3,1,5
North Dakota,1982,0,4,0,4
North Dakota,1983,0,5,0,5
North Dakota,1984,2,8,0,10
North Dakota,1985,1,4,0,5
North Dakota,1986,1,10,0,11
North Dakota,1987,1,6,0,7
North Dakota,1988,0,3,0,3
North Dakota,1989,0,4,0,4
North Dakota,1990,2,5,0,7
North Dakota,1991,1,6,0,7
North Dakota,1992,1,4,0,5
North Dakota,1993,2,4,0,6
North Dakota,1994,2,6,0,8
North Dakota,1995,3,7,0,10
North Dakota,1996,3,9,0,12
North Dakota,1997,0,8,0,8
North Dakota,1998,1,0,6,7
North Dakota,1999,2,1,5,8
North Dakota,2000,4,1,7,12
North Dakota,2001,5,0,6,11
North Dakota,2002,3,0,6,9
North Dakota,2003,5,0,6,11
North Dakota,2004,3,0,2,5
North Dakota,2005,2,0,3,5
North Dakota,2006,3,0,1,4
North Dakota,2007,3,1,3,7
North Dakota,2008,1,1,3,5
North Dakota,2009,1,0,5,6
North Dakota,2010,1,0,5,6
North Dakota,2011,0,0,6,6
North Dakota,2012,0,0,3,3
North Dakota,2013,0,1,4,5
North Dakota,2014,0,1,4,5
North Dakota,2015,0,1,1,2
North Dakota,2016,1,0,1,2
North Dakota,2017,0,1,4,5
Ohio,1975,51,132,5,188
Ohio,1976,45,118,3,166
Ohio,1977,50,111,1,162
Ohio,1978,41,107,2,150
Ohio,1979,36,103,4,143
Ohio,1980,41,92,5,138
Ohio,1981,43,98,2,143
Ohio,1982,54,87,6,147
Ohio,1983,60,95,3,158
Ohio,1984,58,86,4,148
Ohio,1985,28,81,0,109
Ohio,1986,75,79,2,156
Ohio,1987,92,77,3,172
Ohio,1988,89,69,2,160
Ohio,1989,91,63,0,154
Ohio,1990,116,76,2,194
Ohio,1991,110,57,2,169
Ohio,1992,137,87,3,227
Ohio,1993,140,87,1,228
Ohio,1994,140,83,1,224
Ohio,1995,174,109,1,284
Ohio,1996,200,106,10,316
Ohio,1997,217,120,14,351
Ohio,1998,205,10,127,342
Ohio,1999,189,7,121,317
Ohio,2000,174,11,139,324
Ohio,2001,161,10,129,300
Ohio,2002,161,11,124,296
Ohio,2003,161,7,136,304
Ohio,2004,139,4,56,199
Ohio,2005,131,3,72,206
Ohio,2006,115,8,69,192
Ohio,2007,104,12,65,181
Ohio,2008,113,12,75,200
Ohio,2009,121,19,74,214
Ohio,2010,121,19,74,214
Ohio,2011,126,21,69,216
Ohio,2012,127,17,66,210
Ohio,2013,123,13,74,210
Ohio,2014,135,7,76,218
Ohio,2015,144,13,84,241
Ohio,2016,129,13,79,221
Ohio,2017,101,22,103,226
Oklahoma,1975,5,12,1,18
Oklahoma,1976,2,15,0,17
Oklahoma,1977,4,13,0,17
Oklahoma,1978,2,11,1,14
Oklahoma,1979,3,15,0,18
Oklahoma,1980,3,9,0,12
Oklahoma,1981,3,12,0,15
Oklahoma,1982,6,9,0,15
Oklahoma,1983,2,8,0,10
Oklahoma,1984,4,13,0,17
Oklahoma,1985,4,15,0,19
Oklahoma,1986,4,14,0,18
Oklahoma,1987,7,12,0,19
Oklahoma,1988,10,13,0,23
Oklahoma,1989,9,9,1,19
Oklahoma,1990,8,12,0,20
Oklahoma,1991,10,13,0,23
Oklahoma,1992,15,15,0,30
Oklahoma,1993,13,12,0,25
Oklahoma,1994,14,9,0,23
Oklahoma,1995,15,13,0,28
Oklahoma,1996,18,24,0,42
Oklahoma,1997,15,29,0,44
Oklahoma,1998,17,0,34,51
Oklahoma,1999,20,0,34,54
Oklahoma,2000,17,0,35,52
Oklahoma,2001,21,0,35,56
Oklahoma,2002,19,0,30,49
Oklahoma,2003,20,0,29,49
Oklahoma,2004,28,2,6,36
Oklahoma,2005,22,1,10,33
Oklahoma,2006,23,1,10,34
Oklahoma,2007,17,0,6,23
Oklahoma,2008,10,0,9,19
Oklahoma,2009,12,1,9,22
Oklahoma,2010,12,1,9,22
Oklahoma,2011,9,1,12,22
Oklahoma,2012,12,1,9,22
Oklahoma,2013,15,1,4,20
Oklahoma,2014,12,1,8,21
Oklahoma,2015,17,0,5,22
Oklahoma,2016,18,0,7,25
Oklahoma,2017,17,0,13,30
Oregon,1975,3,18,0,21
Oregon,1976,1,17,0,18
Oregon,1977,0,17,1,18
Oregon,1978,2,8,1,11
Oregon,1979,2,7,0,9
Oregon,1980,4,8,0,12
Oregon,1981,2,8,2,12
Oregon,1982,1,8,1,10
Oregon,1983,2,14,0,16
Oregon,1984,2,10,0,12
Oregon,1985,1,14,0,15
Oregon,1986,1,9,0,10
Oregon,1987,4,8,0,12
Oregon,1988,3,11,0,14
Oregon,1989,3,11,1,15
Oregon,1990,8,12,0,20
Oregon,1991,6,12,0,18
Oregon,1992,8,9,0,17
Oregon,1993,9,9,0,18
Oregon,1994,6,16,1,23
Oregon,1995,11,28,1,40
Oregon,1996,12,33,0,45
Oregon,1997,12,30,0,42
Oregon,1998,13,0,29,42
Oregon,1999,13,0,26,39
Oregon,2000,16,1,28,45
Oregon,2001,19,1,23,43
Oregon,2002,14,1,26,41
Oregon,2003,19,2,27,48
Oregon,2004,17,1,10,28
Oregon,2005,15,0,11,26
Oregon,2006,15,1,14,30
Oregon,2007,5,1,16,22
Oregon,2008,7,1,15,23
Oregon,2009,12,2,19,33
Oregon,2010,12,2,19,33
Oregon,2011,12,4,19,35
Oregon,2012,16,4,12,32
Oregon,2013,19,3,17,39
Oregon,2014,19,5,12,36
Oregon,2015,19,3,17,39
Oregon,2016,16,1,21,38
Oregon,2017,17,0,41,58
Other US,1998,14,1,19,34
Other US,1999,17,2,21,40
Other US,2000,17,4,34,55
Other US,2001,17,3,27,47
Other US,2002,15,2,28,45
Other US,2003,7,2,31,40
Other US,2004,8,1,17,26
Other US,2005,10,0,19,29
Other US,2006,13,0,19,32
Other US,2007,11,0,17,28
Other US,2008,13,0,17,30
Other US,2009,4,1,22,27
Other US,2010,4,1,22,27
Other US,2011,8,1,19,28
Other US,2012,3,1,20,24
Pennsylvania,1975,36,107,2,145
Pennsylvania,1976,31,88,3,122
Pennsylvania,1977,29,81,4,114
Pennsylvania,1978,29,92,2,123
Pennsylvania,1979,20,86,4,110
Pennsylvania,1980,23,86,3,112
Pennsylvania,1981,19,68,5,92
Pennsylvania,1982,26,63,1,90
Pennsylvania,1983,31,66,0,97
Pennsylvania,1984,25,64,0,89
Pennsylvania,1985,20,60,0,80
Pennsylvania,1986,28,51,0,79
Pennsylvania,1987,28,42,2,72
Pennsylvania,1988,42,45,2,89
Pennsylvania,1989,43,56,2,101
Pennsylvania,1990,60,74,4,138
Pennsylvania,1991,65,76,5,146
Pennsylvania,1992,57,71,5,133
Pennsylvania,1993,61,75,2,138
Pennsylvania,1994,61,58,0,119
Pennsylvania,1995,66,77,0,143
Pennsylvania,1996,67,75,4,146
Pennsylvania,1997,58,78,6,142
Pennsylvania,1998,53,4,74,131
Pennsylvania,1999,60,7,85,152
Pennsylvania,2000,57,6,98,161
Pennsylvania,2001,57,7,91,155
Pennsylvania,2002,61,6,95,162
Pennsylvania,2003,62,8,109,179
Pennsylvania,2004,54,5,44,103
Pennsylvania,2005,55,5,42,102
Pennsylvania,2006,39,7,35,81
Pennsylvania,2007,32,8,38,78
Pennsylvania,2008,45,6,49,100
Pennsylvania,2009,48,19,65,132
Pennsylvania,2010,48,19,65,132
Pennsylvania,2011,56,21,69,146
Pennsylvania,2012,59,14,70,143
Pennsylvania,2013,62,8,74,144
Pennsylvania,2014,73,9,70,152
Pennsylvania,2015,78,9,62,149
Pennsylvania,2016,75,10,54,139
Pennsylvania,2017,68,14,83,165
Puerto Rico,2013,4,0,17,21
Puerto Rico,2014,6,1,17,24
Puerto Rico,2015,5,1,20,26
Puerto Rico,2016,6,1,19,26
Puerto Rico,2017,3,3,20,26
Rhode Island,1975,1,7,0,8
Rhode Island,1976,1,7,0,8
Rhode Island,1977,2,5,0,7
