Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note
1916,11/25/1916,@,Wisconsin,T,0,0,
1915,10/2/1915,vs.,Haskell,W,36,0,
1915,10/9/1915,vs.,Missouri-Rolla,W,75,7,
1915,10/16/1915,@,Ohio State,T,3,3,
1915,10/23/1915,vs.,Northwestern,W,36,6,
1915,11/6/1915,vs.,Minnesota,T,6,6,Homecoming
1915,11/13/1915,vs.,Wisconsin,W,17,3,
1915,11/20/1915,@,Chicago,W,10,0,
1914,10/3/1914,vs.,Christian Brothers,W,37,0,
1914,10/10/1914,vs.,Indiana,W,51,0,
1914,10/17/1914,vs.,Ohio State,W,37,0,
1914,10/24/1914,@,Northwestern,W,33,0,
1914,10/31/1914,@,Minnesota,W,21,6,
1914,11/14/1914,vs.,Chicago,W,21,7,Homecoming
1914,11/21/1914,@,Wisconsin,W,24,9,
1913,10/4/1913,vs.,Kentucky,W,21,0,
1913,10/11/1913,vs.,Missouri,W,24,7,
1913,10/18/1913,vs.,Northwestern,W,37,0,
1913,10/25/1913,@,Indiana,W,10,0,
1913,11/1/1913,@,Chicago,L,7,28,
1913,11/15/1913,vs.,Purdue,T,0,0,Homecoming
1913,11/22/1913,vs.,Minnesota,L,9,19,
1912,10/5/1912,vs.,Illinois Wesleyan,W,87,3,
1912,10/12/1912,vs.,Washington,W,13,0,
1912,10/19/1912,vs.,Indiana,W,13,7,
1912,11/2/1912,@,Minnesota,L,0,13,
1912,11/9/1912,@,Purdue,T,9,9,
1912,11/16/1912,vs.,Chicago,L,0,10,Homecoming
1912,11/23/1912,@,Northwestern,L,0,6,
1911,10/7/1911,vs.,James Millikin,W,33,0,
1911,10/14/1911,vs.,St. Louis,W,9,0,
1911,10/21/1911,@,Chicago,L,0,24,
1911,11/4/1911,vs.,Purdue,W,12,3,
1911,11/11/1911,@,Indiana,T,0,0,
1911,11/18/1911,vs.,Northwestern,W,27,13,
1911,11/25/1911,vs.,Minnesota,L,0,11,Homecoming
1910,10/1/1910,vs.,James Millikin,W,13,0,
1910,10/8/1910,vs.,Drake,W,29,0,
1910,10/15/1910,vs.,Chicago,W,3,0,Homecoming
1910,10/29/1910,@,Purdue,W,11,0,
1910,11/5/1910,@,Indiana,W,3,0,
1910,11/12/1910,@,Northwestern,W,27,0,
1910,11/19/1910,vs.,Syracuse,W,3,0,
1909,10/2/1909,vs.,James Millikin,W,23,0,
1909,10/9/1909,vs.,Kentucky,L,2,6,
1909,10/16/1909,@,Chicago,L,8,14,
1909,10/30/1909,vs.,Purdue,W,24,6,
1909,11/6/1909,vs.,Indiana,W,6,5,
1909,11/13/1909,@,Northwestern,W,35,0,
1909,11/20/1909,@,Syracuse,W,17,8,
1908,10/3/1908,vs.,Monmouth,W,17,6,
1908,10/10/1908,vs.,Marquette,T,6,6,
1908,10/17/1908,@,Chicago,L,6,11,
1908,10/31/1908,vs.,Indiana,W,10,0,
1908,11/7/1908,vs.,Iowa,W,22,0,
1908,11/14/1908,@,Purdue,W,15,6,
1908,11/21/1908,vs.,Northwestern,W,64,8,
1907,10/19/1907,vs.,Chicago,L,6,42,
1907,10/26/1907,@,Wisconsin,W,15,4,
1907,11/2/1907,vs.,Purdue,W,21,4,
1907,11/9/1907,@,Iowa,L,12,25,
1907,11/22/1907,@,Indiana,W,10,6,
1906,10/13/1906,vs.,Wabash,T,0,0,
1906,10/27/1906,@,Michigan,L,9,28,
1906,11/10/1906,vs.,Wisconsin,L,6,16,
1906,11/17/1906,@,Chicago,L,0,63,
1906,11/25/1906,@,Purdue,W,5,0,
1905,9/30/1905,vs.,Knox,W,6,0,
1905,10/4/1905,vs.,Wabash,W,6,0,
1905,10/7/1905,vs.,North Central,W,24,0,
1905,10/14/1905,vs.,St. Louis,W,12,6,
1905,10/21/1905,vs.,Purdue,L,0,29,
1905,10/28/1905,vs.,Physicians & Surgeons,W,30,0,
1905,11/4/1905,vs.,Michigan,L,0,33,
1905,11/18/1905,@,Chicago,L,0,44,
1905,11/30/1905,@,Nebraska,L,6,24,
1904,9/24/1904,vs.,North Central,W,10,0,
1904,9/28/1904,vs.,Wabash,W,23,2,
1904,10/1/1904,vs.,Knox,W,11,0,
1904,10/5/1904,vs.,Physicians & Surgeons,W,26,0,
1904,10/8/1904,@,Washington,W,31,0,
1904,10/15/1904,vs.,Indiana,W,10,0,
1904,10/22/1904,@,Purdue,W,24,6,
1904,10/29/1904,@,Chicago,T,6,6,
1904,11/5/1904,@,Ohio State,W,46,0,
1904,11/12/1904,@,Northwestern,L,6,12,
1904,11/19/1904,vs.,Iowa,W,29,0,
1904,11/24/1904,@,Nebraska,L,10,16,
1903,9/19/1903,vs.,Englewood High,W,45,5,
1903,9/26/1903,vs.,Lombard,W,43,0,
1903,9/30/1903,vs.,American Osteopath,W,36,0,
1903,10/3/1903,vs.,Knox,W,29,5,
1903,10/7/1903,vs.,Physicians & Surgeons,W,40,0,
1903,10/10/1903,vs.,Rush Medical,W,64,0,
1903,10/14/1903,vs.,Chicago Dental,W,54,0,
1903,10/17/1903,@,Purdue,W,24,0,
1903,10/24/1903,@,Chicago,L,6,18,
1903,10/31/1903,vs.,Northwestern,L,11,12,
1903,11/6/1903,@,Indiana,L,0,17,
1903,11/14/1903,vs.,Minnesota,L,0,32,
1903,11/21/1903,@,Iowa,L,0,12,
1903,11/26/1903,@,Nebraska,L,0,16,
1902,9/20/1902,vs.,North Division High,W,34,6,
1902,9/27/1902,vs.,Englewood High,W,45,0,
1902,10/1/1902,vs.,American Osteopath,W,22,0,
1902,10/4/1902,vs.,Monmouth,W,33,0,
1902,10/8/1902,vs.,Haskell,W,24,10,
1902,10/11/1902,vs.,Washington,W,44,0,
1902,10/18/1902,vs.,Purdue,W,29,5,
1902,10/25/1902,@,Chicago,L,0,6,
1902,11/1/1902,vs.,Indiana,W,47,0,
1902,11/8/1902,@,Minnesota,L,5,17,
1902,11/15/1902,@,Ohio State,T,0,0,
1902,11/22/1902,@,Northwestern,W,17,0,
1902,11/27/1902,vs.,Iowa,W,80,0,
1901,9/28/1901,vs.,Englewood High,W,39,0,
1901,10/5/1901,vs.,Marion Sims,W,52,0,
1901,10/11/1901,vs.,Physicians & Surgeons,W,23,0,
1901,10/12/1901,vs.,Washington,W,21,0,
1901,10/19/1901,@,Chicago,W,24,0,
1901,10/26/1901,vs.,Northwestern,L,11,17,
1901,11/2/1901,"Indianapolis, IN",Indiana,W,18,0,
1901,11/9/1901,@,Iowa,W,27,0,
1901,11/16/1901,@,Purdue,W,28,6,
1901,11/28/1901,vs.,Minnesota,L,0,16,
1900,9/29/1900,vs.,Rose-Hulman,W,26,0,
1900,10/3/1900,vs.,DePauw,W,63,0,
1900,10/6/1900,vs.,Illinois Wesleyan,W,21,0,
1900,10/10/1900,vs.,Physicians & Surgeons,W,6,0,
1900,10/13/1900,vs.,Knox,W,16,0,
1900,10/16/1900,vs.,Lombard,W,35,0,
1900,10/20/1900,@,Northwestern,T,0,0,
1900,10/27/1900,"Chicago, IL",Michigan,L,0,12,
1900,11/3/1900,vs.,Purdue,W,17,5,
1900,11/10/1900,@,Minnesota,L,0,23,
1900,11/17/1900,"Indianapolis, IN",Indiana,T,0,0,
1900,11/24/1900,@,Wisconsin,L,0,27,
1899,1899-09-30,vs.,Illinois Wesleyan,W,6,0,
1899,1899-10-07,@,Knox,W,5,0,
1899,1899-10-14,vs.,Indiana,L,0,5,
1899,1899-10-28,vs.,Michigan,L,0,5,
1899,1899-11-06,vs.,Illinois Alumni,T,0,0,
1899,1899-11-11,"Milwaukee, WI",Wisconsin,L,0,23,
1899,1899-11-22,vs.,Purdue,L,0,5,
1899,1899-11-25,@,St. Louis,W,29,0,
1899,1899-11-30,"Rock Island, IL",Iowa,L,0,58,
1898,1898-09-28,vs.,Illinois Wesleyan,W,18,0,
1898,1898-10-01,vs.,Physicians & Surgeons,L,6,11,
1898,1898-10-08,vs.,Notre Dame,L,0,5,
1898,1898-10-15,vs.,DePauw,W,16,0,
1898,1898-10-22,vs.,Illinois Alumni,W,10,6,
1898,1898-11-04,vs.,Illinois Alumni,L,17,23,
1898,1898-11-12,"Detroit, MI",Michigan,L,5,12,
1898,1898-11-19,"Chicago, IL",Carlisle,L,0,11,
1898,1898-11-24,vs.,Minnesota,W,11,10,
1897,1897-10-02,vs.,Eureka,W,26,0,
1897,1897-10-09,vs.,Physicians & Surgeons,W,6,0,
1897,1897-10-16,vs.,Lake Forest,W,36,0,
1897,1897-10-23,vs.,Purdue,W,34,4,
1897,1897-10-30,vs.,Chicago,L,12,18,
1897,1897-11-12,vs.,Knox,W,64,0,
1897,1897-11-20,"Chicago, IL",Carlisle,L,6,23,
1897,1897-11-25,"Peoria, IL",Eureka,W,6,0,
1896,1896-10-03,vs.,Lake Forest,W,38,0,
1896,1896-10-10,vs.,Knox,W,70,4,
1896,1896-10-17,"St. Louis, MO",Missouri,W,10,0,
1896,1896-10-21,vs.,Oberlin,W,22,6,
1896,1896-10-31,@,Chicago,L,0,12,
1896,1896-11-07,vs.,Northwestern,L,4,10,
1896,1896-11-25,@,Purdue,T,4,4,
1895,1895-10-05,vs.,Wabash,W,48,0,
1895,1895-10-12,@,Chicago A.C.,L,0,8,
1895,1895-10-19,vs.,Illinois College,W,79,0,
1895,1895-10-26,@,Wisconsin,T,10,10,
1895,1895-11-02,vs.,Lake Forest,W,38,0,
1895,1895-11-23,vs.,Northwestern,W,38,4,
1895,1895-11-28,@,Purdue,L,2,6,
1894,1894-10-06,@,Wabash,W,36,6,
1894,1894-10-13,@,Chicago A.C.,L,0,14,
1894,1894-10-20,vs.,Lake Forest,W,54,6,
1894,1894-11-03,vs.,Northwestern,W,66,0,
1894,1894-11-17,vs.,Purdue,L,2,22,
1894,1894-11-24,vs.,Indianapolis Artillery,L,14,18,
1894,1894-11-29,"St. Louis, MO",Pastime A.C.,W,10,0,
1893,1893-09-30,vs.,Wabash,W,60,6,
1893,1893-10-07,@,DePauw,W,14,4,
1893,1893-10-21,@,Northwestern,T,0,0,
1893,1893-10-28,vs.,Chicago A.C.,L,4,10,
1893,1893-11-06,vs.,Oberlin,L,24,34,
1893,1893-11-11,"St. Louis, MO",Pastime A.C.,W,18,16,
1893,1893-11-25,@,Purdue,T,26,26,
1893,1893-11-30,vs.,Lake Forest,T,10,10,
1892,1892-10-08,vs.,Purdue,L,6,12,
1892,1892-10-12,vs.,Northwestern,T,16,16,
1892,1892-10-21,@,Washington,W,22,0,
1892,1892-10-22,"Omaha, NE",Doane,W,20,0,
1892,1892-10-24,@,Nebraska,L,0,6,
1892,1892-10-26,@,Baker,W,26,10,
1892,1892-10-27,@,Kansas,L,4,26,
1892,1892-10-29,@,Kansas City A.C.,W,42,0,
1892,1892-11-05,vs.,Englewood High,W,38,0,
1892,1892-11-16,@,Chicago,L,4,10,
1892,1892-11-18,vs.,DePauw,W,34,0,
1892,1892-11-24,vs.,Chicago,W,28,12,
