Subject,Course,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CEE,350,Water Resources Engineering,6,25,4,5,2,0,1,0,0,0,0,0,0,0,3.81,"Konar, Megan"
CEE,360,Structural Engineering,19,25,24,11,7,7,1,3,2,0,0,0,0,0,3.56,"Cha, Eun Jeong"
CEE,380,Geotechnical Engineering,8,5,6,12,7,4,7,4,3,7,2,3,2,0,2.69,"Hashash, Youssef M"
CEE,406,Pavement Design I,1,7,4,7,3,4,2,1,1,0,0,0,0,0,3.26,"Tutumluer, Erol"
CEE,408,Railroad Transportation Engrg,0,3,2,9,1,3,3,0,1,0,0,0,0,0,3.18,"Barkan, Christopher P"
CEE,409,Railroad Track Engineering,0,4,20,7,0,0,0,0,0,0,0,0,0,0,3.63,"Ruppert, Conrad J"
CEE,416,Traffic Capacity Analysis,0,6,3,7,8,4,4,1,0,0,0,0,0,0,3.16,"Benekohal, Rahim F"
CEE,421,Construction Planning,15,30,25,13,12,14,6,5,2,0,0,1,1,0,3.38,"El-Rayes, Khaled A"
CEE,422,Construction Cost Analysis,7,23,27,28,29,8,2,1,0,1,0,0,0,0,3.41,"El-Gohary, Nora"
CEE,432,Stream Ecology,5,10,4,6,3,0,0,0,0,0,0,0,0,0,3.7,"Tinoco Lopez, Rafael Omar"
CEE,434,Environmental Systems I,10,15,8,2,1,2,0,1,0,0,0,0,1,0,3.66,"Shafiee Jood, Seyed Majid"
CEE,437,Water Quality Engineering,3,8,5,4,2,1,1,0,0,1,1,0,0,1,3.42,"Men, Yujie"
CEE,442,"Env Eng Principles, Physical",7,13,11,0,7,0,0,0,0,0,0,0,0,0,3.72,"Espinosa Marzal, Rosa M"
CEE,443,"Env Eng Principles, Chemical",1,6,7,5,8,4,0,1,1,0,1,1,0,0,3.15,"Cusick, Roland"
CEE,450,Surface Hydrology,4,8,7,4,4,0,1,0,0,0,0,0,0,0,3.62,"Kumar, Praveen"
CEE,457,Groundwater,0,8,4,6,7,3,3,0,0,0,0,0,0,0,3.31,"Valocchi, Albert J"
CEE,460,Steel Structures I,1,17,14,7,13,10,6,5,0,0,0,0,1,0,3.19,"Fahnestock, Larry A"
CEE,461,Reinforced Concrete I,8,14,13,12,18,4,0,2,0,0,1,0,1,0,3.36,"Gurfinkel, German"
CEE,463,Reinforced Concrete II,0,14,13,12,8,1,3,1,0,1,0,0,0,1,3.4,"Andrawes, Bassem O"
CEE,470,Structural Analysis,0,40,4,5,0,0,0,1,0,0,0,0,0,0,3.87,"Elbanna, Ahmed"
CEE,471,Structural Mechanics,1,5,5,13,23,4,1,2,0,0,0,0,0,1,3.18,"Lopez-Pamies, Oscar"
CEE,472,Structural Dynamics I,10,12,6,19,6,3,1,0,0,0,0,0,0,1,3.54,"Spencer, B F"
CEE,483,Soil Mechanics and Behavior,0,13,0,4,8,0,0,7,3,0,1,0,0,0,3.04,"Mesri, Gholamreza"
CEE,491,Decision and Risk Analysis,2,17,4,3,11,1,1,11,0,0,0,0,6,0,2.92,"Gardoni, Paolo"
CEE,493,Sustainable Design Eng Tech,2,28,9,1,0,0,0,0,0,0,0,0,0,0,3.91,"Guest, Jeremy S"
CEE,498,Constr Equipment and Methods,0,45,13,4,0,1,0,1,1,0,0,0,0,0,3.8,"Young, Brent D"
CEE,498,Wind Engineering,0,21,0,3,13,0,0,0,0,0,0,0,0,0,3.59,"Lombardo, Franklin T"
CEE,508,Pavement Evaluation and Rehab,1,6,2,6,5,2,1,0,0,0,0,0,0,0,3.39,"Al-Qadi, Imad L"
CEE,525,Construction Case Studies,0,27,27,20,2,0,1,0,0,0,0,0,0,0,3.66,"Liu, Liang Y"
CEE,537,Water Quality Control Proc I,2,9,3,4,3,5,1,0,0,0,0,0,0,1,3.44,"Marinas, Benito J"
CEE,590,Geotechnical Field Measurement,3,3,9,5,4,2,0,0,0,1,0,0,0,0,3.42,"Olson, Scott M"
CEE,598,Globalization of Water,0,20,0,0,1,0,0,0,0,0,0,0,0,0,3.95,"Konar, Megan"
CHBE,221,Principles of CHE,8,11,11,0,11,18,0,22,8,0,3,0,1,0,2.77,"Rogers, Simon"
CHBE,221,Principles of CHE,2,11,6,3,7,13,8,7,9,2,4,0,2,2,2.62,"Yang, Hong"
CHBE,321,Thermodynamics,0,7,12,6,7,6,10,11,10,2,3,1,1,0,2.6,"Hammack, William S"
CHBE,421,Momentum and Heat Transfer,0,19,1,4,12,5,10,18,0,0,0,0,2,1,2.84,"Higdon, Jonathan J"
CHBE,422,Mass Transfer Operations,0,14,3,2,27,2,2,18,1,2,1,0,4,1,2.71,"Flaherty, David W"
CHBE,424,Chemical Reaction Engineering,1,31,5,5,31,1,3,19,2,0,2,2,1,0,3.01,"Kraft, Mary L"
CHBE,430,Unit Operations Laboratory,1,8,6,18,15,38,1,3,0,0,0,0,0,0,3.03,"Mitrovski, Svetlana"
CHBE,431,Process Design,0,14,18,15,14,8,4,1,2,0,1,0,2,0,3.18,"Bennett, Joshua E"
CHBE,440,Process Control and Dynamics,2,16,5,21,17,6,2,3,0,0,0,0,0,0,3.31,"Shukla, Diwakar"
CHBE,455,Polymer Synthesis,1,12,6,8,12,8,1,5,3,0,1,0,1,0,3.04,"Guironnet, Damien S"
CHBE,457,Microelectronics Processing,1,8,2,1,9,2,2,9,1,0,0,0,1,0,2.87,"Seebauer, Edmund G"
CHBE,478,Bioenergy Technology,0,8,0,2,5,2,1,5,0,0,2,0,0,1,2.93,"Zhao, Huimin"
CHBE,494,Comp Methods in Chem Engr,0,29,3,1,0,1,0,0,0,0,0,0,0,0,3.91,"Rao, Christopher V"
CHBE,521,Applied Mathematics in CHBE,2,14,0,0,6,0,0,0,0,0,0,0,1,0,3.57,"Schroeder, Charles M"
CHBE,525,Stat Thermo Chem Eng,0,7,5,3,5,0,0,0,0,0,0,0,1,0,3.4,"Sing, Charles E"
CHEM,101,Introductory Chemistry,4,41,20,37,51,32,34,32,18,10,9,5,14,2,2.65,"McCarren, Elise M"
CHEM,101,Introductory Chemistry,3,31,24,29,49,40,31,31,14,10,7,2,22,1,2.57,"McCarren, Elise M"
CHEM,101,Introductory Chemistry,4,7,10,19,28,24,25,31,12,13,15,5,17,3,2.23,"Andino Martinez, Jose G"
CHEM,102,General Chemistry I,13,29,16,20,35,14,18,25,17,14,17,19,16,3,2.39,"Marville, Kelly"
CHEM,102,General Chemistry I,7,31,10,20,35,39,34,33,30,15,6,8,18,1,2.42,"Hummel, Thomas J"
CHEM,102,General Chemistry I,8,30,8,25,46,31,27,45,33,12,9,4,7,1,2.53,"Hummel, Thomas J"
CHEM,102,General Chemistry I,5,15,28,17,47,29,43,16,26,15,13,11,12,5,2.43,"Huang, Tina H"
CHEM,102,General Chemistry I,13,37,17,25,31,22,22,28,20,16,11,10,8,1,2.6,"Marville, Kelly"
CHEM,102,General Chemistry I,3,23,20,27,57,40,24,45,26,17,10,8,19,3,2.42,"Gunasekera, Mutha Merenna"
CHEM,102,General Chemistry I,6,27,31,38,58,38,31,38,13,8,14,6,20,2,2.58,"Gunasekera, Mutha Merenna"
CHEM,103,General Chemistry Lab I,14,2,5,1,1,1,0,1,0,0,0,0,0,0,3.73,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,11,7,2,1,2,0,1,0,0,0,0,0,0,0,3.79,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,14,6,4,3,1,1,0,0,0,0,0,0,0,0,3.8,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,13,10,1,1,4,0,0,0,1,0,0,0,0,0,3.76,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,10,9,5,0,0,2,1,0,0,0,0,0,0,0,3.78,"Raja, Sabina M"
CHEM,103,General Chemistry Lab I,7,7,4,0,2,1,1,1,0,0,0,0,0,0,3.64,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,13,7,4,1,1,1,0,1,0,0,1,0,0,0,3.68,"Raja, Sabina M"
CHEM,103,General Chemistry Lab I,8,12,2,1,1,0,0,1,0,0,1,0,0,0,3.72,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,8,12,2,3,1,0,0,2,0,0,0,0,0,0,3.73,"Chheda, Monish L"
CHEM,103,General Chemistry Lab I,15,6,1,3,0,1,1,0,0,0,0,0,1,0,3.67,"Suh, Lois Y"
CHEM,103,General Chemistry Lab I,14,4,4,1,1,0,1,1,0,0,1,0,2,0,3.39,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,8,7,4,4,3,0,0,1,0,0,0,0,0,0,3.67,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,8,11,4,1,2,0,2,0,0,0,0,0,1,0,3.61,"Weigle, Austin T"
CHEM,103,General Chemistry Lab I,4,9,7,0,4,1,0,0,0,0,0,0,1,0,3.55,"Singh, Devashish"
CHEM,103,General Chemistry Lab I,11,7,4,2,0,0,0,2,0,1,0,0,0,0,3.65,"Weigle, Austin T"
CHEM,103,General Chemistry Lab I,12,4,2,2,2,1,0,2,0,0,0,0,0,0,3.63,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,11,11,1,2,2,0,0,0,0,0,0,0,1,0,3.73,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,8,13,2,1,3,0,0,0,0,0,0,0,0,0,3.84,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,3,18,1,0,1,1,1,1,0,0,2,0,0,0,3.56,"Singh, Devashish"
CHEM,103,General Chemistry Lab I,12,8,1,1,3,1,0,0,1,0,0,0,1,0,3.58,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,7,10,3,3,1,1,0,0,1,1,0,0,0,0,3.62,"Singh, Devashish"
CHEM,103,General Chemistry Lab I,10,8,2,1,2,2,1,0,1,1,0,0,0,0,3.55,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,14,11,0,2,0,0,0,1,0,0,0,0,0,0,3.88,"Chheda, Monish L"
CHEM,103,General Chemistry Lab I,15,2,2,2,1,0,0,2,0,0,0,0,0,0,3.71,"Suh, Lois Y"
CHEM,103,General Chemistry Lab I,13,7,1,2,1,2,0,1,1,0,0,0,0,0,3.66,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,16,3,2,1,3,0,1,0,0,0,0,0,1,0,3.63,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,13,5,3,2,2,0,0,0,1,0,0,1,0,0,3.63,"Chheda, Monish L"
CHEM,103,General Chemistry Lab I,13,10,5,0,0,0,0,0,0,0,0,0,2,0,3.68,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,8,9,3,3,4,1,0,0,0,0,0,0,1,0,3.57,"Chheda, Monish L"
CHEM,103,General Chemistry Lab I,10,11,3,0,2,1,0,1,0,0,0,0,0,0,3.77,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,11,5,5,3,0,1,0,1,1,0,0,0,0,0,3.65,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,14,7,3,2,0,1,0,1,0,0,0,0,0,0,3.8,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,9,10,5,2,0,0,0,0,0,0,0,0,1,0,3.74,"Brubaker, Riley J"
CHEM,103,General Chemistry Lab I,5,13,3,1,2,1,0,0,0,0,0,0,1,0,3.65,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,3,11,7,3,1,1,0,1,0,0,0,0,0,0,3.68,"Weigle, Austin T"
CHEM,103,General Chemistry Lab I,15,7,1,1,2,0,0,0,1,0,0,0,0,0,3.8,"Deutscher, Wesley A"
CHEM,103,General Chemistry Lab I,5,17,2,4,1,1,0,0,0,0,0,0,0,0,3.81,"Weigle, Austin T"
CHEM,103,General Chemistry Lab I,1,16,6,2,0,0,1,0,1,0,0,0,0,0,3.73,"Singh, Devashish"
CHEM,103,General Chemistry Lab I,13,8,6,0,1,0,0,0,0,0,0,0,0,0,3.89,"Chheda, Monish L"
CHEM,103,General Chemistry Lab I,9,7,3,1,0,1,2,0,0,0,0,0,1,0,3.57,"Brubaker, Riley J"
CHEM,103,General Chemistry Lab I,18,4,3,0,1,0,0,0,0,0,0,0,1,0,3.78,"Fuerste, Wade C"
CHEM,103,General Chemistry Lab I,8,10,3,1,1,1,0,1,0,0,0,0,0,0,3.76,"Brubaker, Riley J"
CHEM,103,General Chemistry Lab I,6,11,3,1,2,1,1,0,1,0,0,0,1,0,3.52,"Joulani, Dana A"
CHEM,103,General Chemistry Lab I,16,8,3,1,0,0,0,0,0,0,0,0,0,0,3.94,"Varghese, Jeffrey A"
CHEM,103,General Chemistry Lab I,14,7,5,2,0,0,0,0,0,0,0,0,0,0,3.89,"Joulani, Dana A"
CHEM,103,General Chemistry Lab I,18,5,2,0,0,0,1,1,0,0,0,0,0,0,3.84,"Raja, Sabina M"
CHEM,103,General Chemistry Lab I,17,4,1,1,0,1,2,0,0,0,0,0,1,0,3.64,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,19,6,1,2,0,0,0,0,0,0,0,0,0,0,3.94,"Suh, Lois Y"
CHEM,103,General Chemistry Lab I,11,8,2,3,2,1,0,1,0,0,0,0,0,0,3.71,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,9,4,1,5,1,1,1,0,0,0,0,0,0,0,3.65,"Varghese, Jeffrey A"
CHEM,103,General Chemistry Lab I,10,9,6,0,0,0,0,0,1,0,0,0,0,0,3.83,"Aghajani, Ali Asghar"
CHEM,103,General Chemistry Lab I,12,5,2,1,3,0,1,2,0,0,0,0,1,0,3.48,"Raja, Sabina M"
CHEM,103,General Chemistry Lab I,7,11,3,3,0,0,1,1,0,0,0,0,0,0,3.74,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,6,11,4,1,1,1,0,0,0,0,2,0,0,0,3.6,"Brubaker, Riley J"
CHEM,103,General Chemistry Lab I,10,10,6,2,0,0,0,0,0,0,0,0,1,0,3.75,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,12,9,2,1,2,0,0,0,0,0,0,0,0,0,3.87,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,9,10,4,3,1,0,0,0,0,0,0,0,1,0,3.7,"Joulani, Dana A"
CHEM,103,General Chemistry Lab I,16,4,3,1,0,2,0,0,0,0,0,0,2,0,3.56,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,16,8,1,1,1,0,0,0,0,0,0,0,1,0,3.79,"Suh, Lois Y"
CHEM,103,General Chemistry Lab I,10,10,4,1,0,0,1,1,1,0,0,0,0,0,3.71,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,9,13,2,1,3,0,0,1,0,0,0,0,0,0,3.78,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,9,9,2,1,2,0,0,0,0,0,0,0,2,0,3.55,"Varghese, Jeffrey A"
CHEM,103,General Chemistry Lab I,13,9,0,5,0,2,0,0,0,0,0,0,0,0,3.79,"Davydovich, Oleg"
CHEM,103,General Chemistry Lab I,9,9,3,3,1,0,1,0,0,0,0,0,0,0,3.78,"Varghese, Jeffrey A"
CHEM,103,General Chemistry Lab I,1,10,6,2,1,0,1,1,0,0,0,0,0,0,3.64,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,1,13,7,2,2,1,0,0,1,0,0,0,1,1,3.52,"Bandas-Rivera, Christophe"
CHEM,103,General Chemistry Lab I,10,6,5,0,2,0,1,1,0,0,0,0,1,0,3.56,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,12,10,2,1,1,1,0,0,0,0,0,0,2,0,3.6,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,14,6,4,0,0,0,1,0,0,0,0,0,0,0,3.88,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,11,12,2,2,1,1,0,0,0,0,0,0,1,0,3.72,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,18,7,1,0,0,0,0,1,0,0,0,0,0,0,3.91,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,13,11,2,0,2,0,1,0,0,1,0,0,0,0,3.77,"Xue, Tianrui"
CHEM,103,General Chemistry Lab I,12,7,4,2,1,2,0,0,0,0,0,0,1,0,3.64,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,10,8,4,1,1,0,0,0,0,0,0,0,1,0,3.72,"Hagler, Brittany D"
CHEM,103,General Chemistry Lab I,10,14,2,1,0,1,1,0,0,0,0,0,0,0,3.85,"Weigle, Austin T"
CHEM,103,General Chemistry Lab I,6,15,3,2,0,0,1,0,0,0,0,0,0,0,3.85,"Weigle, Austin T"
CHEM,104,General Chemistry II,10,20,12,24,32,29,36,47,40,3,17,5,4,2,2.46,"Ray, Christian R"
CHEM,104,General Chemistry II,18,24,11,37,51,35,35,49,39,3,5,3,5,4,2.65,"Ray, Christian R"
CHEM,104,General Chemistry II,4,5,7,8,13,10,11,15,8,3,1,2,5,0,2.49,"Kim, Yery"
CHEM,105,General Chemistry Lab II,5,18,3,4,1,0,0,0,0,0,0,0,0,0,3.85,"Liao, Can H"
CHEM,105,General Chemistry Lab II,7,13,3,0,3,0,3,1,0,1,0,0,0,0,3.56,"Barrick, Samantha K"
CHEM,105,General Chemistry Lab II,5,11,3,3,2,2,0,0,0,0,0,0,1,0,3.57,"Dykstra, Conner"
CHEM,105,General Chemistry Lab II,8,10,4,4,0,2,0,0,0,0,0,0,0,0,3.76,"Barrick, Samantha K"
CHEM,105,General Chemistry Lab II,18,7,1,1,1,0,0,0,0,0,0,0,0,0,3.93,"Dykstra, Conner"
CHEM,105,General Chemistry Lab II,9,8,2,5,1,0,0,0,2,0,0,0,0,0,3.64,"Strasser, Caitlyn E"
CHEM,105,General Chemistry Lab II,10,13,4,2,0,0,1,0,0,0,0,0,0,0,3.86,"Klauck, Ashley L"
CHEM,105,General Chemistry Lab II,13,14,1,1,0,0,0,0,0,0,0,0,0,0,3.97,"Devasia, Dinumol"
CHEM,105,General Chemistry Lab II,11,14,3,0,0,0,0,0,0,0,0,0,1,0,3.83,"Klauck, Ashley L"
CHEM,105,General Chemistry Lab II,10,8,5,1,2,1,0,0,0,0,1,0,0,0,3.69,"Devasia, Dinumol"
CHEM,105,General Chemistry Lab II,10,12,5,2,2,0,0,0,0,0,0,0,0,0,3.84,"Strasser, Caitlyn E"
CHEM,105,General Chemistry Lab II,14,9,4,0,1,1,0,0,0,0,0,0,1,0,3.75,"Andino Martinez, Jose G"
CHEM,105,General Chemistry Lab II,16,9,0,3,2,0,0,0,0,1,0,0,0,0,3.78,"Klauck, Ashley L"
CHEM,105,General Chemistry Lab II,11,14,0,1,1,0,0,2,0,0,0,0,0,0,3.8,"Devasia, Dinumol"
CHEM,105,General Chemistry Lab II,14,12,1,1,1,1,0,0,0,0,0,0,0,0,3.89,"Klauck, Ashley L"
CHEM,105,General Chemistry Lab II,15,10,3,1,1,0,0,0,0,0,0,0,0,0,3.91,"Liao, Can H"
CHEM,105,General Chemistry Lab II,11,12,1,1,0,2,0,0,0,0,0,0,0,0,3.86,"Dykstra, Conner"
CHEM,105,General Chemistry Lab II,3,14,5,3,1,1,1,1,0,0,0,0,1,0,3.54,"Devasia, Dinumol"
CHEM,105,General Chemistry Lab II,8,10,2,1,3,0,1,0,0,1,0,0,0,1,3.67,"Strasser, Caitlyn E"
CHEM,105,General Chemistry Lab II,7,13,2,3,1,0,2,0,0,0,0,0,0,1,3.75,"Dykstra, Conner"
CHEM,105,General Chemistry Lab II,15,8,4,2,0,0,0,0,0,0,0,1,1,0,3.68,"Strasser, Caitlyn E"
CHEM,105,General Chemistry Lab II,13,8,3,3,1,0,1,1,0,0,0,0,0,0,3.74,"Dykstra, Conner"
CHEM,105,General Chemistry Lab II,4,16,1,1,3,1,1,0,0,0,0,0,1,0,3.61,"Barrick, Samantha K"
CHEM,105,General Chemistry Lab II,5,17,2,1,1,0,1,0,0,0,0,0,0,0,3.85,"Devasia, Dinumol"
CHEM,105,General Chemistry Lab II,3,9,4,5,3,1,1,0,0,0,0,0,0,0,3.59,"Dykstra, Conner"
CHEM,199,Undergraduate Open Seminar,73,209,7,5,5,2,0,1,0,0,0,0,4,2,3.9,"McCarren, Elise M"
CHEM,202,Accelerated Chemistry I,2,22,23,25,24,24,29,40,14,15,14,7,20,4,2.35,"Decoste, Donald J"
CHEM,203,Accelerated Chemistry Lab I,4,21,10,15,46,11,4,11,4,0,0,0,1,2,3.09,"Vura-Weis, Joshua"
CHEM,203,Accelerated Chemistry Lab I,8,23,14,10,39,5,8,10,2,0,0,0,7,1,3.02,"Vura-Weis, Joshua"
CHEM,222,Quantitative Analysis Lecture,5,66,16,8,10,5,3,3,0,2,0,0,0,0,3.63,"Shen, Mei"
CHEM,223,Quantitative Analysis Lab,6,43,0,18,19,1,1,5,0,0,2,0,1,0,3.44,"Olson, Dean"
CHEM,232,Elementary Organic Chemistry I,12,14,11,13,28,26,40,36,19,10,6,1,1,2,2.57,"Axelson, Jordan C"
CHEM,232,Elementary Organic Chemistry I,13,30,17,34,44,43,32,39,13,10,4,0,2,1,2.8,"Axelson, Jordan C"
CHEM,232,Elementary Organic Chemistry I,6,6,4,7,15,3,2,7,1,0,0,0,1,0,3.06,"Zavala, Jose"
CHEM,232,Elementary Organic Chemistry I,8,6,2,5,11,2,2,5,3,0,2,0,0,0,3.04,"Moore, Jeffrey S"
CHEM,232,Elementary Organic Chemistry I,2,2,0,0,4,5,1,4,1,1,3,0,2,0,2.31,"Kell, David A"
CHEM,233,Elementary Organic Chem Lab I,38,79,67,33,24,7,8,3,0,0,0,0,6,0,3.54,"Kell, David A"
CHEM,233,Elementary Organic Chem Lab I,15,45,32,31,26,10,3,6,2,2,0,0,1,0,3.41,"Kell, David A"
CHEM,236,Fundamental Organic Chem I,11,41,11,11,41,5,7,32,8,0,5,0,5,1,2.94,"Zimmerman, Steven C"
CHEM,237,Structure and Synthesis,3,7,10,16,18,25,12,11,7,4,2,2,0,1,2.74,"White, M C"
CHEM,237,Structure and Synthesis,1,7,9,8,5,9,1,4,1,0,1,0,1,1,3.06,"White, M C"
CHEM,312,Inorganic Chemistry,2,11,12,4,24,3,3,1,0,2,0,0,2,1,3.14,"Weitzel, Alison R"
CHEM,315,Instrumental Chem Systems Lab,1,35,1,1,40,1,1,33,0,1,0,1,2,2,2.94,"Leckband, Deborah E"
CHEM,317,Inorganic Chemistry Lab,2,10,3,4,5,3,1,0,0,0,0,0,0,0,3.49,"Weitzel, Alison R"
CHEM,332,Elementary Organic Chem II,2,12,9,8,14,17,9,14,12,6,15,7,12,2,2.19,"Koerner, Michael"
CHEM,420,Instrumental Characterization,3,25,20,17,17,17,18,20,16,0,7,0,7,1,2.72,"Gewirth, Andrew A"
CHEM,440,Physical Chemistry Principles,6,6,7,7,8,8,5,4,3,0,0,0,2,0,2.98,"Oldfield, Eric"
CHEM,440,Physical Chemistry Principles,7,6,21,8,15,16,7,4,4,0,4,0,0,0,3.03,"Tajkhorshid, Emad"
CHEM,442,Physical Chemistry I,1,3,4,2,7,4,4,3,0,0,2,0,1,0,2.79,"Hammes-Schiffer, Sharon"
CHEM,442,Physical Chemistry I,4,15,10,4,7,1,1,6,2,0,0,0,3,1,3.16,"Hammes-Schiffer, Sharon"
CHEM,442,Physical Chemistry I,3,10,12,16,6,11,0,4,3,0,1,1,1,1,3.11,"van der Veen, Renske"
CHEM,532,Physical Organic Chemistry,2,11,9,7,8,0,1,0,0,0,0,0,0,0,3.54,"Hull, Kami L"
CHEM,540,Quantum Mechanics,3,6,5,4,6,1,0,0,0,0,0,0,0,0,3.53,"Makri, Nancy"
CHEM,544,Statistical Thermodynamics,8,7,6,2,0,1,0,0,0,0,0,0,0,0,3.81,"Luthey-Schulten, Zaida A"
CHEM,570,Concepts in Chemical Biology,2,10,10,5,7,1,0,0,0,0,0,0,0,0,3.57,"Chan, Jefferson K"
CHEM,584,Introduction to Materials Chem,0,31,1,7,10,1,0,0,0,0,0,0,0,0,3.67,"Murphy, Catherine J"
CHLH,100,Contemporary Health,36,50,34,19,20,9,5,7,4,2,0,2,1,1,3.45,"Kaplan, Justine"
CHLH,100,Contemporary Health,152,264,98,48,50,18,16,12,8,6,4,4,10,1,3.58,"Trask, Jeffrey T"
CHLH,101,Introduction to Public Health,20,51,31,26,23,10,4,5,2,2,1,0,2,1,3.43,"Kaplan, Justine"
CHLH,101,Introduction to Public Health,7,29,28,23,26,4,8,5,2,0,2,0,1,0,3.3,"Dargatz, Rachel K"
CHLH,125,Orientation KIN & Comm Health,0,116,0,0,17,0,0,3,0,0,0,0,3,0,3.75,"Firkins, Carol H"
CHLH,199,Campus Acq Rape Educ (CARE),1,21,11,2,4,0,0,0,0,0,0,0,0,0,3.77,"McLay, Molly M"
CHLH,200,Mental Health,0,46,0,0,15,0,0,4,0,0,1,0,3,1,3.45,"Gobin, Robyn L"
CHLH,201,Public Health Research Methods,2,10,10,4,1,1,0,0,0,0,1,0,1,0,3.49,"Andrade, Flavia C"
CHLH,206,Human Sexuality,54,19,3,10,5,5,1,1,1,1,1,1,2,0,3.59,"Brown, Danielle M"
CHLH,206,Human Sexuality,14,310,122,54,84,25,13,19,6,3,4,3,16,3,3.46,"Rinaldi-Miles, Anna I"
CHLH,206,Human Sexuality,22,247,54,38,42,10,3,10,2,4,3,0,3,0,3.63,"Rinaldi-Miles, Anna I"
CHLH,210,Community Health Organizations,19,34,19,15,8,4,5,2,0,2,0,0,0,0,3.56,"Brown, Danielle M"
CHLH,243,Drug Use and Abuse,0,64,0,0,31,0,0,14,0,0,2,0,2,0,3.35,"Ritter, Ellen S"
CHLH,243,Drug Use and Abuse,0,35,0,0,21,0,0,4,0,0,1,0,0,2,3.48,"Santens, Ryan L"
CHLH,243,Drug Use and Abuse,473,135,27,28,19,9,9,9,6,1,3,1,4,0,3.81,"Kersh, Renique"
CHLH,250,Health Care Systems,15,41,21,7,8,4,1,3,2,1,0,0,1,0,3.58,"Farner, Susan M"
CHLH,260,Introduction to Medical Ethics,24,66,10,9,13,5,0,1,1,0,1,0,0,0,3.72,"Notaro, Stephen J"
CHLH,260,Introduction to Medical Ethics,6,9,1,1,2,2,0,1,0,1,1,0,0,1,3.44,"Notaro, Stephen J"
CHLH,260,Introduction to Medical Ethics,14,43,10,4,7,2,0,1,1,0,0,0,0,0,3.76,"Notaro, Stephen J"
CHLH,274,Introduction to Epidemiology,7,7,7,3,7,5,2,3,0,0,1,1,0,0,3.22,"Grigsby, Diana S"
CHLH,274,Introduction to Epidemiology,111,71,86,49,32,28,10,8,10,8,3,5,36,2,3.17,"Rosenblatt, Karin A"
CHLH,304,Foundations of Health Behavior,40,39,29,9,4,3,3,2,0,0,1,2,2,0,3.62,"Farner, Susan M"
CHLH,380,Orientation to Internship,0,101,4,1,2,0,0,0,0,0,0,0,0,0,3.96,"Farner, Susan M"
CHLH,404,Gerontology,0,24,0,0,1,0,0,1,0,0,0,0,1,0,3.75,"Schwingel, Andiara"
CHLH,410,Public Health Practice,38,30,7,5,2,1,0,0,0,0,0,0,0,1,3.89,"Kaplan, Justine"
CHLH,415,International Health,2,23,8,9,0,1,1,0,0,0,0,1,1,0,3.6,"Schwingel, Andiara"
CHLH,421,Health Data Analysis,55,27,12,3,6,1,2,1,0,0,0,0,0,0,3.83,"An, Ruopeng"
CHLH,455,Health Services Financing,8,35,5,15,16,2,3,4,0,0,0,0,0,0,3.51,"Notaro, Stephen J"
CHLH,456,Organization of Health Care,51,33,8,6,6,0,1,0,0,0,1,0,0,0,3.84,"Farner, Susan M"
CHLH,457,Health Planning,1,46,15,8,8,0,0,0,0,0,0,0,0,0,3.77,"Notaro, Stephen J"
